2015-06-01|献县战友建材租赁站与霍林郭勒市永兴建设集团有限公司租赁合同纠纷一审民事裁定书|租赁合同纠纷|原告-献县战友建材租赁站被告-霍林郭勒市永兴建设集团有限公司|（2015）献民初字第1182号|https://www.tianyancha.com/lawsuit/c93e7a001cb511e6b554008cfae40dc0
2015-05-29|原告陈恭会、韩额敦敖喜、李景发、苏广奎、丁柱诉被告霍林郭勒市永兴建设集团有限公司、褚井泉劳务合同纠纷民事裁定书|劳务合同纠纷|被告-霍林郭勒市永兴建设集团有限公司|（2015）霍民初字第814号|https://www.tianyancha.com/lawsuit/ae9ea6031cb611e6b554008cfae40dc0
2015-05-22|申请执行人社保局与被执行人永兴公司民事裁定书|-|被执行人-霍林郭勒市永兴建设集团有限公司|（2015）霍法执字第516号|https://www.tianyancha.com/lawsuit/c504844b1cb511e6b554008cfae40dc0
2015-05-04|原告霍林郭勒市永兴建设集团有限公司诉被告王兴邦、康德伟、吴学凯申请撤销仲裁裁决民事裁定书|申请撤销仲裁裁决|原告-霍林郭勒市永兴建设集团有限公司|（2015）霍民初字303号|https://www.tianyancha.com/lawsuit/ae9fb75e1cb611e6b554008cfae40dc0
2015-04-23|上诉人霍林郭勒市永兴建设集团有限责任公司与霍林郭勒市启程轮胎有限责任公司建设工程合同纠纷二审民事判决书|建设工程合同纠纷|上诉人-霍林郭勒市永兴建筑安装有限责任公司,霍林郭勒市永兴建设集团有限公司|（2015）通民终字第654号|https://www.tianyancha.com/lawsuit/eabe73b81cb911e6b554008cfae40dc0
2015-03-26|原告黄金锁诉被告刘洋、霍林郭勒市永兴建设集团有限公司建设工程施工合同纠纷一案一审民事判决书|建设工程施工合同纠纷|被告-霍林郭勒市永兴建设集团有限公司|（2015）东乌民初字第80号|https://www.tianyancha.com/lawsuit/e6c527d91cb911e6b554008cfae40dc0
2015-03-18|原告乌拉盖管理区绿洲砼结构构件加工有限公司诉被告西乌珠穆沁旗沁旺房地产开发有限责任公司、西乌珠穆沁旗沁旺房地产开发有限责任公司乌拉盖团结小区项目部、西乌珠穆沁旗宇厦建筑有限责任公司、王立波买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-乌拉盖管理区绿洲砼结构构件加工有限公司被告-西乌珠穆沁旗沁旺房地产开发有限责任公司,霍林郭勒市永兴建设集团有限公司|（2015）东乌民初字第16号|https://www.tianyancha.com/lawsuit/e6c42e0e1cb911e6b554008cfae40dc0
2014-09-25|霍林郭勒市天原置业有限公司诉白文秀等十二人及第三人霍林郭勒市永兴建设集团有限公司、韩井斌、杨志杰劳动争议纠纷一案一审民事判决书|劳动争议|原告-霍林郭勒市天原置业有限责任公司|（2014）霍民初字第57号|https://www.tianyancha.com/lawsuit/ea2263c31cb911e6b554008cfae40dc0
2014-09-25|霍林郭勒市天原置业有限公司诉孙玉娜等七人及第三人霍林郭勒市永兴建设集团有限公司、韩井斌、杨志杰劳动争议纠纷一案一审民事判决书|劳动争议|原告-霍林郭勒市天原置业有限责任公司|（2014）霍民初字第58号|https://www.tianyancha.com/lawsuit/ea22b6b11cb911e6b554008cfae40dc0
2014-08-25|于海江与霍林郭勒市永兴建设集团有限公司劳动合同纠纷二审民事裁定书|劳动合同纠纷|被上诉人-霍林郭勒市永兴建设集团有限公司|（2014）通民终字第777号|https://www.tianyancha.com/lawsuit/adbc077a1cba11e6b554008cfae40dc0
2014-06-10|霍林郭勒市永兴建设集团有限公司、尚立国与王素枝等18人劳动争议纠纷二审民事判决书|劳动争议|上诉人-霍林郭勒市永兴建设集团有限公司|（2014）通民终字第377号|https://www.tianyancha.com/lawsuit/ea4516db1cb911e6b554008cfae40dc0
2014-05-30|霍林郭勒市永兴建设集团有限公司、刘洋与王燕军等身体权纠纷二审民事判决书|-|上诉人-霍林郭勒市永兴建设集团有限公司|（2014）锡民一终字第230号|https://www.tianyancha.com/lawsuit/e70ef07d1cb911e6b554008cfae40dc0
2014-04-25|霍林郭勒市永兴建设集团有限公司与赤峰永成房地产开发有限责任公司建设工程施工合同纠纷执行裁定书|建设工程施工合同纠纷|申请执行人-霍林郭勒市永兴建设集团有限公司被执行人-赤峰永成房地产开发有限责任公司|（2014）通法执字第7号|https://www.tianyancha.com/lawsuit/ea3bef9f1cb911e6b554008cfae40dc0
-|霍林郭勒市永兴建设集团有限公司与郎柏存、于爱水劳动争议纠纷二审民事判决书|劳动争议|上诉人-霍林郭勒市永兴建设集团有限公司|（2016）内05民终38号|https://www.tianyancha.com/lawsuit/084c65e739bc429b94ef2cebe4e4fc2f
-|王欢申请执行霍林郭勒市永兴建设集团有限公司劳务合同纠纷一案执行裁定书|劳务合同纠纷|被执行人-霍林郭勒市永兴建设集团有限公司|（2016）内0581执538号|https://www.tianyancha.com/lawsuit/7a536dfe3f934594bef5de8dba3ef18d
